id_university_subject,name,full_name,code,hours,enableable,validable,credits,semesters,id_university_type_subject,id_university_qualification_type,id_authorization_program,id_university_deparment,id_program,description,status,file_name,university_type_subject,university_qualification_type,authorization_programs,university_department,program
493,LECTURA DE TEXTOS ACADEMICOS EN INGLES III,LECTURA DE TEXTOS ACADEMICOS EN INGLES III,204140M,05:00:00,True,True,3,4,1,1,2,1,1,LECTURA DE TEXTOS ACADEMICOS EN INGLES III,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 2, 'resolution_number': '047', 'status': True, 'created_at': '2022-12-17 19:03:33', 'updated_at': '2022-12-17 19:03:33', 'id_program': 1, 'id_user': 1}","{'id_university_deparment': 1, 'id_faculty': 7, 'description': 'Escuela de Ingeniería Industrial', 'status': True}","{'id_program': 1, 'full_name': 'Ingeniería de Sistemas'}"
494,Trabajo de Grado,Trabajo de Grado,207479,03:00:00,True,True,3,9,1,1,6,2,5,Trabajo de Grado,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 6, 'resolution_number': '011', 'status': True, 'created_at': '2023-01-16 13:57:22', 'updated_at': '2023-01-16 13:57:22', 'id_program': 5, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 5, 'full_name': 'Trabajo social'}"
496,Problemas Colombianos,Problemas Colombianos,207005M,03:00:00,True,True,3,2,1,1,6,2,5,Problemas Colombianos,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 6, 'resolution_number': '011', 'status': True, 'created_at': '2023-01-16 13:57:22', 'updated_at': '2023-01-16 13:57:22', 'id_program': 5, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 5, 'full_name': 'Trabajo social'}"
497,Historia del Trabajo Social,Historia del Trabajo Social,207007M,03:00:00,True,True,3,2,1,1,6,2,5,Historia del Trabajo Social,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 6, 'resolution_number': '011', 'status': True, 'created_at': '2023-01-16 13:57:22', 'updated_at': '2023-01-16 13:57:22', 'id_program': 5, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 5, 'full_name': 'Trabajo social'}"
500,Metodologia de Trabajo con Grupo I,Metodologia de Trabajo con Grupo I,207013M,04:00:00,True,True,3,4,1,1,6,2,5,Metodologia de Trabajo con Grupo I,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 6, 'resolution_number': '011', 'status': True, 'created_at': '2023-01-16 13:57:22', 'updated_at': '2023-01-16 13:57:22', 'id_program': 5, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 5, 'full_name': 'Trabajo social'}"
501,Desarrollo de la Personalidad II,Desarrollo de la Personalidad II,207014M,03:00:00,True,True,3,2,1,1,6,2,5,Desarrollo de la Personalidad II,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 6, 'resolution_number': '011', 'status': True, 'created_at': '2023-01-16 13:57:22', 'updated_at': '2023-01-16 13:57:22', 'id_program': 5, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 5, 'full_name': 'Trabajo social'}"
197,Sociología de la Organizaciones,Sociología de la Organizaciones,801190M,03:00:00,True,True,3,4,1,1,1,2,2,Sociología de la Organizaciones,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 1, 'resolution_number': '038-NOC', 'status': True, 'created_at': '2023-01-16 13:32:45', 'updated_at': '2023-01-16 13:32:45', 'id_program': 2, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 2, 'full_name': 'Administracion de empresas'}"
198,Estadística II,Estadística II,801031M,03:00:00,True,True,3,4,1,1,1,2,2,Estadística II,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 1, 'resolution_number': '038-NOC', 'status': True, 'created_at': '2023-01-16 13:32:45', 'updated_at': '2023-01-16 13:32:45', 'id_program': 2, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 2, 'full_name': 'Administracion de empresas'}"
199,Liderazgo Empresarial,Liderazgo Empresarial,801172M,03:00:00,True,True,3,4,1,1,1,2,2,Liderazgo Empresarial,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 1, 'resolution_number': '038-NOC', 'status': True, 'created_at': '2023-01-16 13:32:45', 'updated_at': '2023-01-16 13:32:45', 'id_program': 2, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 2, 'full_name': 'Administracion de empresas'}"
200,Business English III,Business English III,204073M,03:00:00,True,True,3,4,1,1,1,2,2,Business English III,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 1, 'resolution_number': '038-NOC', 'status': True, 'created_at': '2023-01-16 13:32:45', 'updated_at': '2023-01-16 13:32:45', 'id_program': 2, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 2, 'full_name': 'Administracion de empresas'}"
201,Microeconomía,Microeconomía,801044M,03:00:00,True,True,3,4,1,1,1,2,2,Microeconomía,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 1, 'resolution_number': '038-NOC', 'status': True, 'created_at': '2023-01-16 13:32:45', 'updated_at': '2023-01-16 13:32:45', 'id_program': 2, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 2, 'full_name': 'Administracion de empresas'}"
202,Entorno Organizacional,Entorno Organizacional,801059M,03:00:00,True,True,3,4,1,1,1,2,2,Entorno Organizacional,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 1, 'resolution_number': '038-NOC', 'status': True, 'created_at': '2023-01-16 13:32:45', 'updated_at': '2023-01-16 13:32:45', 'id_program': 2, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 2, 'full_name': 'Administracion de empresas'}"
504,Teoria Sociológica I,Teoria Sociológica I,207032M,03:00:00,True,True,3,2,1,1,6,2,5,Teoria Sociológica I,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 6, 'resolution_number': '011', 'status': True, 'created_at': '2023-01-16 13:57:22', 'updated_at': '2023-01-16 13:57:22', 'id_program': 5, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 5, 'full_name': 'Trabajo social'}"
505,Comunidad y Organizaciones II,Comunidad y Organizaciones II,207033M,04:00:00,True,True,3,6,1,1,6,2,5,Comunidad y Organizaciones II,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 6, 'resolution_number': '011', 'status': True, 'created_at': '2023-01-16 13:57:22', 'updated_at': '2023-01-16 13:57:22', 'id_program': 5, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 5, 'full_name': 'Trabajo social'}"
506,Diseño Etnografico,Diseño Etnografico,207028M,04:00:00,True,True,3,6,1,1,6,2,5,Diseño Etnografico,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 6, 'resolution_number': '011', 'status': True, 'created_at': '2023-01-16 13:57:22', 'updated_at': '2023-01-16 13:57:22', 'id_program': 5, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 5, 'full_name': 'Trabajo social'}"
507,Trabajo Social Laboral,Trabajo Social Laboral,207039M,03:00:00,True,True,3,9,1,1,6,2,5,Trabajo Social Laboral,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 6, 'resolution_number': '011', 'status': True, 'created_at': '2023-01-16 13:57:22', 'updated_at': '2023-01-16 13:57:22', 'id_program': 5, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 5, 'full_name': 'Trabajo social'}"
176,Cálculo ,Cálculo ,801003C,03:00:00,True,True,3,1,1,1,19,2,2,Cálculo ,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 19, 'resolution_number': '246-DIU', 'status': True, 'created_at': '2023-02-15 02:05:28', 'updated_at': '2023-02-15 02:05:28', 'id_program': 2, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 2, 'full_name': 'Administracion de empresas'}"
508,Prática II,Prática II,207044M,02:00:00,True,True,3,9,1,1,6,2,5,Prática II,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 6, 'resolution_number': '011', 'status': True, 'created_at': '2023-01-16 13:57:22', 'updated_at': '2023-01-16 13:57:22', 'id_program': 5, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 5, 'full_name': 'Trabajo social'}"
528,Taller de Representación  I,Taller de Representación  I,501002C,06:00:00,True,True,3,1,1,1,5,2,4,Taller de Representación  I,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 5, 'resolution_number': '128', 'status': True, 'created_at': '2023-01-16 13:56:28', 'updated_at': '2023-01-16 13:56:28', 'id_program': 4, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 4, 'full_name': 'Construccion'}"
186,Diseño Organizacional ,Diseño Organizacional ,801079C,03:00:00,True,True,3,2,1,1,23,2,2,Diseño Organizacional ,True,,"{'id_university_type_subject': 1, 'type': 'Profesional', 'status': True}","{'id_university_qualification_type': 1, 'description': 'Numerica', 'status': True}","{'id_authorization_program': 23, 'resolution_number': '246-NOC', 'status': True, 'created_at': '2023-08-05 01:03:25', 'updated_at': '2023-08-05 01:03:25', 'id_program': 2, 'id_user': 1}","{'id_university_deparment': 2, 'id_faculty': 7, 'description': 'Escuela de Ingeniería de Sistemas y computación', 'status': True}","{'id_program': 2, 'full_name': 'Administracion de empresas'}"
